,sfincs_depth_mean,sfincs_depth_median,sfincs_area_km2,sfincs_manning_mean,hecras_depth_mean,hecras_depth_median,hecras_area_km2,hecras_manning_mean
541,1.0229647,0.90353394,0.5384249999999999,0.05350893700182607,1.2978256,1.0115509,0.683075,0.06290664436684237
542,1.0602769,0.9686508,0.551325,0.05090344729725664,1.297808,1.0115509,0.683075,0.05447723432374079
543,1.0937014,0.9544296,0.5393749999999999,0.04633614474658192,1.2978371,1.0115509,0.683075,0.049821750640836576
544,1.0317274,0.91535187,0.5389499999999999,0.058275629043292594,1.2978337,1.0115509,0.683075,0.06089990026330951
545,1.0382811,0.92139435,0.5374249999999999,0.050463510087869395,1.2978271,1.0115509,0.683075,0.05422732900667582
546,1.1037757,1.0185165,0.5605249999999999,0.054276793340443406,1.2978033,1.0114975,0.6830999999999999,0.057559931390997736
547,1.075955,0.9497528,0.53865,0.04524066510136004,1.2977868,1.0114899,0.6830999999999999,0.0475263256893386
548,1.0556395,0.96258163,0.547775,0.05340826005853045,1.2978313,1.0115585,0.683075,0.05692373236339918
549,1.0734,0.97956085,0.5542,0.06606218700009597,1.2978675,1.0115719,0.6830499999999999,0.07040765629851733
550,1.0681483,0.97543335,0.556125,0.07482316961217442,1.2978218,1.0115509,0.683075,0.08007183308695623
551,1.0269212,0.90921783,0.540925,0.05939391851703008,1.2978492,1.0115719,0.6830499999999999,0.06669338703571025
552,1.0142695,0.88835907,0.5324249999999999,0.06204819380557691,1.2978264,1.0115509,0.683075,0.0701837104644647
553,1.0084571,0.8750839,0.529475,0.06499504525540759,1.2978249,1.0115509,0.683075,0.0715704084593303
554,0.9918402,0.8171463,0.5182,0.050784507242925846,1.2978634,1.0115719,0.6830499999999999,0.05265281701914877
555,1.0883929,0.9767685,0.546125,0.06852105719383317,1.2978265,1.0115509,0.683075,0.0723846427813745
556,1.027763,0.91378784,0.54245,0.07820076966558245,1.2978727,1.0115757,0.6830499999999999,0.08382745915598508
557,1.0403284,0.8908348,0.5274249999999999,0.05217443006424288,1.2978584,1.0115719,0.6830499999999999,0.0570215978228133
558,1.0978793,0.992363,0.547325,0.07368781891537873,1.297821,1.0115509,0.683075,0.08145654214947043
559,1.0511751,0.94745636,0.5395,0.07243927793845731,1.2978088,1.0115509,0.683075,0.0775176339691956
560,1.000595,0.8685303,0.5302749999999999,0.038549666304046735,1.2978823,1.0115719,0.6830499999999999,0.043702768985084885
561,1.0546473,0.949955,0.5433749999999999,0.05030019414771915,1.2978393,1.0115509,0.683075,0.052974694063774946
562,1.0109519,0.87285423,0.52795,0.07585868215491713,1.2978473,1.0115509,0.683075,0.0811755980604107
563,1.117059,1.0310593,0.5609999999999999,0.05054084380583881,1.2978135,1.0115509,0.683075,0.05279772681564393
564,1.0509791,0.9417801,0.53935,0.047006326302596615,1.2978342,1.0115509,0.683075,0.05123969095971347
565,1.0874755,0.9934006,0.556925,0.04495594856990402,1.2978845,1.0115757,0.6830499999999999,0.04840288932476323
566,1.036771,0.93091583,0.5392,0.04774355145631663,1.29781,1.0115509,0.683075,0.050512641438251196
567,1.0625035,0.96050644,0.544975,0.06305347604009891,1.2968422,1.0113297,0.68285,0.06776185397688914
568,1.0877876,0.9598465,0.5297,0.06751677530811699,1.2978383,1.0115585,0.683075,0.07214060547445493
569,1.0115882,0.8786278,0.529025,0.07282558960101429,1.2978704,1.0115719,0.6830499999999999,0.080148203267798
570,1.064921,0.9186039,0.5203,0.05918762338825637,1.2978363,1.0115509,0.683075,0.06168381425482934
571,1.0522621,0.9241257,0.5413749999999999,0.05936029740092175,1.2978805,1.0115719,0.6830499999999999,0.06375066373555556
572,1.0309079,0.90146637,0.53225,0.07029399357757239,1.2979213,1.0115929,0.683025,0.076354195929176
573,1.0437294,0.9337082,0.5454749999999999,0.055644673772044656,1.2978486,1.0115585,0.683075,0.06189428461538093
574,0.99800926,0.8588333,0.527125,0.03984393911420883,1.2978567,1.0115719,0.6830499999999999,0.04372554357271723
575,1.1094687,1.0250854,0.5609,0.05880055555838973,1.2978264,1.0115509,0.683075,0.06388614109553567
576,1.0023589,0.8484993,0.529575,0.06797332274318964,1.2978191,1.0114937,0.6830999999999999,0.07390603102309415
577,1.0380299,0.9147644,0.535125,0.0782376695588402,1.2978151,1.0115509,0.683075,0.0828095040998127
578,1.0549166,0.95323944,0.547025,0.042289195595718296,1.2978768,1.0115719,0.6830499999999999,0.046207301714588415
579,1.060512,0.9223633,0.533125,0.04756219055371997,1.29782,1.0115509,0.683075,0.05496569327599505
580,0.9914975,0.8292389,0.521475,0.05759094753305568,1.2978253,1.0115509,0.683075,0.06097648325611993
581,1.0577495,0.96505165,0.54735,0.04927442332676559,1.2978178,1.0115509,0.683075,0.05393427901151211
582,1.0300566,0.9187851,0.541225,0.04213650456795997,1.2978243,1.0115509,0.683075,0.04747094365487589
583,1.0404454,0.9308243,0.541125,0.04703632944155809,1.2978106,1.0115509,0.683075,0.04979755987336212
584,1.0297409,0.9086075,0.5364749999999999,0.052481958124214696,1.2978286,1.0115509,0.683075,0.05814774908622815
585,1.048136,0.93455505,0.5374749999999999,0.06538140897520964,1.2978258,1.0115509,0.683075,0.07091005548549183
586,1.0474639,0.94112015,0.5465,0.055691237286715725,1.2978301,1.0115509,0.683075,0.0637304702414246
587,1.0553887,0.9488678,0.5474249999999999,0.057560708000539224,1.297826,1.0115509,0.683075,0.060508573508243145
588,0.9981445,0.8207054,0.523,0.04847734424924881,1.2978714,1.0115719,0.6830499999999999,0.054596039189917595
589,1.0954169,0.99035645,0.5516249999999999,0.0370075320471777,1.2978462,1.0115509,0.683075,0.039269555354860666
590,1.0367839,0.9291229,0.5401,0.0552574744285643,1.2978169,1.0115509,0.683075,0.0577613980728409
591,1.0600888,0.95837593,0.5433,0.04377179508840977,1.2978827,1.0115719,0.6830499999999999,0.04803350565661866
592,1.0318859,0.9110718,0.534,0.06647080130851968,1.2978103,1.0115509,0.683075,0.07194419227489535
593,1.1083528,1.0145454,0.5537,0.0606278106885671,1.2978718,1.0115719,0.6830499999999999,0.06446537352372876
594,0.9810105,0.82857513,0.517625,0.056362571732615954,1.2978764,1.0115585,0.6830499999999999,0.06308966751966456
595,1.0908802,0.98854446,0.5525,0.052149745310247936,1.2978289,1.0115509,0.683075,0.05628120580436677
596,1.055926,0.9633217,0.549175,0.039717373980773296,1.297879,1.0115719,0.6830499999999999,0.0446069803260141
597,1.0651263,0.9737015,0.5505749999999999,0.06890470615636776,1.2978148,1.0115509,0.683075,0.07454780437496741
598,1.0303878,0.9148636,0.5408,0.0544949359825348,1.2978776,1.0115719,0.6830499999999999,0.05949966795389708
599,1.0123204,0.8645344,0.5253,0.06690756981377916,1.2977871,1.0114899,0.6830999999999999,0.07265335719776515
600,1.0368267,0.92876434,0.5432,0.055279191694579455,1.2978392,1.0115509,0.683075,0.059062369979531466
601,0.9912888,0.8033371,0.522925,0.04985408201926553,1.2978122,1.0115509,0.683075,0.05637632840866412
602,1.0199496,0.89920044,0.533875,0.06524659637358211,1.2977856,1.0114899,0.6830999999999999,0.07057690179413399
603,1.0652207,0.96604156,0.549825,0.053114859289317855,1.29784,1.0115585,0.683075,0.056489473315146276
604,1.0800093,0.9790554,0.5492,0.07611545770863593,1.2978822,1.0115719,0.6830499999999999,0.0809583388181429
605,1.0373011,0.91705704,0.53875,0.060947083481822414,1.2978346,1.0115509,0.683075,0.06405668126820258
606,0.99679184,0.80129623,0.526,0.07100197327191579,1.2978204,1.0115509,0.683075,0.07723546653392523
607,1.0277253,0.8994217,0.53145,0.05862728627942103,1.2978249,1.0115509,0.683075,0.06318200128382845
608,1.0307832,0.90869904,0.536725,0.035957721101014264,1.2978705,1.0115719,0.6830499999999999,0.040490826354168855
609,1.0590442,0.9648781,0.5473,0.05069035425714114,1.2977808,1.0114899,0.6830999999999999,0.05368692337236082
610,1.0786757,0.9736481,0.5467,0.0609291445689316,1.2978258,1.0115509,0.683075,0.06458487959492308
611,1.0778942,0.9746399,0.546725,0.057490019585138885,1.2978165,1.0115509,0.683075,0.06236605470188027
612,0.9778856,0.77770996,0.516075,0.08555135042350656,1.297823,1.0115509,0.683075,0.09112579365428185
613,1.0919212,0.9981079,0.556075,0.0638347321469451,1.2977889,1.0114899,0.6830999999999999,0.06863105905459102
614,0.99263316,0.8376236,0.526875,0.056165846553096734,1.2978249,1.0115509,0.683075,0.06233030138766628
615,1.05368,0.9476929,0.53815,0.05115604150470459,1.2978225,1.0115509,0.683075,0.05673933917035429
616,1.0472939,0.943985,0.5394249999999999,0.05311577892761356,1.2978306,1.0115509,0.683075,0.05633901225250556
617,1.0284356,0.90496826,0.536675,0.06196961332345786,1.2978553,1.0115719,0.6830499999999999,0.06903912939363985
618,1.0404378,0.9137287,0.5478999999999999,0.04991601582715611,1.2313185,0.9392586,0.7753,0.054513332687437584
619,1.0396022,0.923893,0.5412,0.06585577217516828,1.2140932,0.93297195,0.7461,0.07054168607388069
620,1.0886991,0.99061203,0.55325,0.04901750518352515,1.28211,1.0233345,0.678875,0.05155430687931624
621,1.0760823,0.98152924,0.554175,0.058169580863254224,1.309354,0.98696136,0.808425,0.06470128881341539
622,1.0452771,0.92707825,0.539025,0.043074378879879416,1.203755,1.0122833,0.6406499999999999,0.04499790386952037
623,1.0950688,1.0054512,0.5578,0.07469659706443196,1.3022114,1.0021133,0.727175,0.07879980961400165
624,0.99268323,0.8105202,0.51995,0.06719927262844672,1.076585,1.0065994,0.5378999999999999,0.0677408111045579
625,1.0605575,0.9586201,0.54255,0.056050048640707485,1.2373058,1.0186768,0.646525,0.06050933489207352
626,1.0657047,0.95866203,0.54465,0.049919855909333094,1.2336003,0.95951843,0.706425,0.051470092687874995
627,0.99244744,0.8562031,0.52865,0.054633093465240916,1.1672498,0.918911,0.7612,0.05716276416427516
628,1.0899696,0.9853287,0.553675,0.054775682185819866,1.2940466,0.9824791,0.7458,0.05837870065963702
629,1.02676,0.86380196,0.5266,0.04744677780025931,1.141198,1.0395126,0.5442,0.04895688075472518
630,1.0198239,0.89496994,0.53415,0.047217686640529576,1.166704,0.95170593,0.6796749999999999,0.04909453075967851
631,1.0369107,0.9385605,0.5449999999999999,0.05974664221165923,1.2472967,0.94664764,0.81055,0.06662059690592798
632,1.117763,1.0187073,0.548775,0.0673462631312365,1.3210235,1.063034,0.639025,0.06977670149178668
634,1.004302,0.8454666,0.524025,0.052979946247729094,1.110162,1.0125084,0.563275,0.05378194054968825
635,1.0349613,0.91944885,0.537575,0.05594625815902611,1.1935097,0.943367,0.707375,0.05962613918131127
636,0.99848133,0.83768463,0.5226999999999999,0.0638234670446783,1.1308767,0.9818344,0.623425,0.06599775765157999
