id,x,y
1,238601,3515990
1,238601,3515960
1,238841,3515960
1,238841,3515990
1,238961,3515990
1,238961,3515960
1,238991,3515960
1,238991,3515930
1,239111,3515930
1,239111,3515900
1,239231,3515900
1,239231,3515930
1,239261,3515930
1,239261,3515900
1,239291,3515900
1,239291,3515930
1,239471,3515930
1,239471,3515870
1,239441,3515870
1,239441,3515780
1,239471,3515780
1,239471,3515750
1,239591,3515750
1,239591,3515720
1,239651,3515720
1,239651,3515690
1,239711,3515690
1,239711,3515660
1,239801,3515660
1,239801,3515630
1,239861,3515630
1,239861,3515600
1,239831,3515600
1,239831,3515540
1,239861,3515540
1,239861,3515390
1,239891,3515390
1,239891,3515360
1,239921,3515360
1,239921,3515330
1,239951,3515330
1,239951,3515270
1,239981,3515270
1,239981,3515240
1,240011,3515240
1,240011,3515210
1,240041,3515210
1,240041,3515180
1,240101,3515180
1,240101,3515150
1,240131,3515150
1,240161,3515150
1,240161,3515180
1,240191,3515180
1,240191,3515210
1,240221,3515210
1,240221,3515240
1,240251,3515240
1,240251,3515270
1,240461,3515270
1,240461,3515300
1,240521,3515300
1,240521,3515270
1,240551,3515270
1,240551,3515240
1,240581,3515240
1,240581,3515270
1,240731,3515270
1,240731,3515300
1,240761,3515300
1,240761,3515330
1,240791,3515330
1,240791,3515300
1,240821,3515300
1,240821,3515270
1,240851,3515270
1,240851,3515240
1,240911,3515240
1,240911,3515210
1,240941,3515210
1,240941,3515180
1,240971,3515180
1,240971,3515150
1,241091,3515150
1,241091,3515120
1,241151,3515120
1,241151,3515150
1,241181,3515150
1,241181,3515180
1,241301,3515180
1,241301,3515240
1,241331,3515240
1,241331,3515270
1,241361,3515270
1,241361,3515300
1,241391,3515300
1,241391,3515330
1,241451,3515330
1,241451,3515360
1,241481,3515360
1,241481,3515390
1,241511,3515390
1,241511,3515360
1,241541,3515360
1,241541,3515330
1,241571,3515330
1,241571,3515300
1,241601,3515300
1,241601,3515270
1,241691,3515270
1,241691,3515240
1,241751,3515240
1,241751,3515210
1,241781,3515210
1,241781,3515150
1,241811,3515150
1,241811,3515120
1,241871,3515120
1,241871,3515030
1,241901,3515030
1,241901,3515000
1,241931,3515000
1,241931,3514970
1,241961,3514970
1,241961,3514910
1,241991,3514910
1,241991,3514880
1,242021,3514880
1,242021,3514850
1,242081,3514850
1,242081,3514820
1,242111,3514820
1,242111,3514790
1,242291,3514790
1,242291,3514760
1,242441,3514760
1,242441,3514730
1,242471,3514730
1,242471,3514760
1,242501,3514760
1,242501,3514790
1,242651,3514790
1,242651,3514760
1,242681,3514760
1,242681,3514730
1,242711,3514730
1,242711,3514700
1,242741,3514700
1,242741,3514670
1,242771,3514670
1,242771,3514610
1,242801,3514610
1,242801,3514550
1,242771,3514550
1,242771,3514460
1,242951,3514460
1,242951,3514430
1,243191,3514430
1,243191,3514400
1,243221,3514400
1,243221,3514310
1,243251,3514310
1,243251,3514220
1,243371,3514220
1,243371,3514130
1,243461,3514130
1,243461,3514100
1,243491,3514100
1,243491,3514070
1,243521,3514070
